Designator,Mid X,Mid Y,Layer,Rotation
R137,56.287005mm,52.887005mm,Top,90.0
R136,57.487005mm,52.887005mm,Top,90.0
R135,53.887005mm,51.887005mm,Top,270.0
R132,55.087005000000005mm,51.887005mm,Top,270.0
R126,56.287005mm,51.887005mm,Top,270.0
R124,57.487005mm,51.887005mm,Top,270.0
R119,78.28700500000001mm,38.987004999999996mm,Top,270.0
R118,78.28700500000001mm,34.887005mm,Top,270.0
R253,59.887005mm,52.887005mm,Top,270.0
R252,61.087005000000005mm,52.887005mm,Top,270.0
R251,62.287005mm,52.887005mm,Top,270.0
R250,63.487005mm,52.887005mm,Top,270.0
R249,59.887005mm,51.887005mm,Top,90.0
R248,61.087005000000005mm,51.887005mm,Top,90.0
R247,62.287005mm,51.887005mm,Top,90.0
R246,63.487005mm,51.887005mm,Top,90.0
R235,64.687005mm,52.887005mm,Top,270.0
R234,65.887005mm,52.887005mm,Top,270.0
R233,67.087005mm,52.887005mm,Top,270.0
R232,68.28700500000001mm,52.887005mm,Top,270.0
R231,64.687005mm,51.887005mm,Top,90.0
R230,65.887005mm,51.887005mm,Top,90.0
R229,67.087005mm,51.887005mm,Top,90.0
R228,68.28700500000001mm,51.887005mm,Top,90.0
R226,69.487005mm,52.887005mm,Top,90.0
R225,70.687005mm,52.887005mm,Top,90.0
R224,71.887005mm,52.887005mm,Top,90.0
R223,73.087005mm,52.887005mm,Top,90.0
R222,69.487005mm,51.887005mm,Top,270.0
R221,70.687005mm,51.887005mm,Top,270.0
R220,71.887005mm,51.887005mm,Top,270.0
R219,73.087005mm,51.887005mm,Top,270.0
R218,71.387005mm,51.837005mm,Bottom,180.0
R208,74.28700500000001mm,52.887005mm,Top,90.0
R207,75.487005mm,52.887005mm,Top,90.0
R206,76.687005mm,52.887005mm,Top,90.0
R205,77.887005mm,52.887005mm,Top,90.0
R204,74.28700500000001mm,51.887005mm,Top,270.0
R203,75.487005mm,51.887005mm,Top,270.0
R202,76.687005mm,51.887005mm,Top,270.0
R201,77.887005mm,51.887005mm,Top,270.0
P106,56.987005mm,40.937005mm,Top,90.0
P105,64.607005mm,40.937005mm,Top,90.0
P104,60.597005mm,40.937005mm,Top,90.0
P201,58.637005mm,52.387005mm,Top,270.0
P200,79.187005mm,53.887005mm,Top,270.0
J100,53.437005mm,31.087004999999998mm,Bottom,270.0
D100,75.78700500000001mm,30.894705mm,Bottom,0.0
D205,49.190505mm,45.630605mm,Top,270.0
D206,61.687005mm,49.087005mm,Top,0.0
D203,66.487005mm,49.087005mm,Top,0.0
D200,76.087005mm,49.087005mm,Top,0.0
D116,74.750905mm,40.287504999999996mm,Top,0.0
D115,70.51260500000001mm,40.287504999999996mm,Top,0.0
D114,74.750905mm,38.354105000000004mm,Top,0.0
D113,70.51260500000001mm,38.354105000000004mm,Top,0.0
D112,74.750905mm,36.420805mm,Top,0.0
D111,70.51260500000001mm,36.420805mm,Top,0.0
D110,74.750905mm,34.487505mm,Top,0.0
D109,70.633905mm,34.348105000000004mm,Top,0.0
D202,71.28700500000001mm,49.087005mm,Top,0.0
C143,57.487005mm,49.987004999999996mm,Top,90.0
C144,56.287005mm,49.987004999999996mm,Top,270.0
C145,55.087005000000005mm,49.987004999999996mm,Top,90.0
C146,53.887005mm,49.987004999999996mm,Top,90.0
C112,68.574805mm,40.601704999999995mm,Bottom,180.0
C111,78.887005mm,41.087005mm,Bottom,0.0
C123,53.287005mm,22.462004999999998mm,Bottom,180.0
C117,53.287005mm,21.194505mm,Bottom,180.0
C105,75.087005mm,28.687005mm,Bottom,180.0
C100,77.659505mm,28.687005mm,Bottom,0.0
C229,57.487005mm,50.892105mm,Bottom,270.0
C224,79.337005mm,52.287005mm,Top,270.0
C223,79.337005mm,48.037005mm,Top,270.0
C222,79.28700500000001mm,50.987004999999996mm,Bottom,90.0
C221,59.064305000000004mm,48.214205mm,Top,90.0
C220,59.171705mm,48.187005mm,Bottom,90.0
C225,63.686905mm,49.137005mm,Bottom,90.0
C226,62.587005000000005mm,49.137005mm,Bottom,90.0
C227,60.436905mm,49.137005mm,Bottom,90.0
C228,59.371705000000006mm,51.892105mm,Bottom,270.0
C212,68.48690500000001mm,49.137005mm,Bottom,90.0
C213,67.387005mm,49.137005mm,Bottom,90.0
C214,65.23690500000001mm,49.137005mm,Bottom,90.0
C215,64.192605mm,51.892105mm,Bottom,270.0
C200,78.086905mm,49.137005mm,Bottom,90.0
C201,76.987005mm,49.137005mm,Bottom,90.0
C202,74.836905mm,49.137005mm,Bottom,90.0
C203,73.796505mm,51.892105mm,Bottom,270.0
C195,66.23690500000001mm,43.687005mm,Bottom,90.0
C190,52.137005mm,43.837005mm,Bottom,90.0
C185,73.337005mm,43.687005mm,Bottom,90.0
C180,59.137005mm,43.687005mm,Bottom,90.0
C142,53.887005mm,52.887005mm,Bottom,90.0
C141,55.087005000000005mm,52.887005mm,Bottom,90.0
C139,56.286905000000004mm,52.887005mm,Bottom,270.0
C135,57.487005mm,52.887005mm,Bottom,90.0
C211,68.978905mm,51.892105mm,Bottom,270.0
C210,70.036905mm,49.137005mm,Bottom,90.0
C209,72.187005mm,49.137005mm,Bottom,90.0
C208,73.286905mm,49.137005mm,Bottom,90.0
C147,62.537005mm,35.478305mm,Bottom,0.0
F101,77.587005mm,22.289805mm,Bottom,270.0
R134,68.337005mm,22.787005mm,Bottom,180.0
R133,68.337005mm,21.612004999999996mm,Bottom,180.0
C133,68.187005mm,24.897005mm,Bottom,270.0
R131,61.39100500000001mm,39.543205mm,Bottom,0.0
R130,68.086905mm,34.362004999999996mm,Bottom,270.0
R129,68.086905mm,38.237004999999996mm,Bottom,270.0
Y101,65.799605mm,26.469604999999998mm,Bottom,180.0
C116,64.858405mm,27.958405mm,Bottom,0.0
C115,66.722605mm,27.944705mm,Bottom,180.0
C124,62.537005mm,36.618105mm,Bottom,180.0
R121,52.861605mm,20.110005mm,Bottom,0.0
R106,59.037005mm,21.962004999999998mm,Bottom,180.0
J101,53.687005mm,21.237004999999996mm,Top,0.0
C108,66.587005mm,24.887005mm,Bottom,180.0
R105,48.637905mm,37.505905mm,Top,180.0
R104,48.837905000000006mm,38.695904999999996mm,Top,180.0
R103,48.637905mm,39.805904999999996mm,Top,180.0
R125,48.087005000000005mm,51.367005mm,Top,90.0
C104,74.237005mm,20.287005mm,Bottom,270.0
C137,66.891805mm,40.578505mm,Top,180.0
D101,77.457505mm,26.042505mm,Bottom,0.0
C101,50.495405000000005mm,20.110005mm,Bottom,0.0
R102,78.659505mm,27.612505mm,Bottom,0.0
R101,68.086905mm,30.487005mm,Bottom,90.0
D102,48.787005mm,21.487004999999996mm,Top,270.0
Y102,63.143205mm,31.500505mm,Bottom,270.0
R122,48.787005mm,41.687005mm,Bottom,180.0
R123,51.077205000000006mm,43.711105mm,Bottom,90.0
R127,62.987005mm,25.787005mm,Bottom,0.0
R128,59.309205000000006mm,39.543205mm,Bottom,0.0
D106,70.633905mm,26.922105mm,Top,0.0
D105,70.633905mm,28.722105mm,Top,0.0
D107,64.482005mm,23.197505mm,Bottom,0.0
D104,70.633905mm,30.522105mm,Top,0.0
D103,70.633905mm,32.322105mm,Top,0.0
C140,62.987005mm,26.887005mm,Bottom,180.0
C132,65.419505mm,30.511905mm,Bottom,270.0
C136,65.419505mm,32.587104999999994mm,Bottom,90.0
C127,54.787005mm,39.543205mm,Bottom,180.0
C138,79.253105mm,23.514805mm,Bottom,270.0
C130,64.76950500000001mm,37.633505mm,Bottom,180.0
C131,54.787005mm,40.687005mm,Bottom,180.0
C122,64.76950500000001mm,35.478305mm,Bottom,0.0
C114,48.918705mm,25.687005mm,Top,180.0
C103,75.28700500000001mm,20.287005mm,Bottom,270.0
C113,48.918705mm,24.487005mm,Top,0.0
C102,75.087005mm,27.612505mm,Bottom,0.0
U105,59.377605mm,31.637005mm,Top,90.0
C601_2,5.466mm,25.878999999999998mm,Bottom,180.0
C602_2,5.466mm,26.829mm,Bottom,180.0
C603_2,3.266mm,26.829mm,Bottom,0.0
C604_2,5.466mm,27.779mm,Bottom,180.0
C605_2,3.807668mm,13.954mm,Bottom,270.0
C606_2,3.266mm,27.779mm,Bottom,180.0
C607_2,7.691mm,10.279mm,Bottom,270.0
C608_2,13.941mm,27.554mm,Bottom,90.0
C617_2,11.290628mm,33.379mm,Bottom,180.0
